"patRIL","matRIL","sex","id"
22199,11199,"F",22199
22201,11201,"F",22201
22202,11202,"F",22202
22203,11203,"F",22203
22204,11204,"F",22204
22205,11205,"F",22205
22206,11206,"F",22206
22207,11207,"F",22207
22208,11208,"F",22208
22210,11210,"F",22210
22211,11211,"F",22211
22212,11212,"F",22212
22213,11213,"F",22213
22214,11214,"F",22214
22215,11215,"F",22215
22216,11216,"F",22216
22217,11217,"F",22217
22218,11218,"F",22218
22219,11219,"F",22219
22220,11220,"F",22220
22221,11221,"F",22221
22222,11222,"F",22222
22223,11223,"F",22223
22224,11224,"F",22224
22225,11225,"F",22225
22226,11226,"F",22226
22227,11227,"F",22227
22228,11228,"F",22228
22229,11229,"F",22229
22230,11230,"F",22230
22231,11231,"F",22231
22232,11232,"F",22232
22233,11233,"F",22233
22234,11234,"F",22234
22235,11235,"F",22235
22236,11236,"F",22236
22237,11237,"F",22237
22238,11238,"F",22238
22239,11239,"F",22239
22240,11240,"F",22240
22241,11241,"F",22241
22242,11242,"F",22242
22243,11243,"F",22243
22244,11244,"F",22244
22245,11245,"F",22245
22246,11246,"F",22246
22247,11247,"F",22247
22248,11248,"F",22248
22251,11251,"F",22251
22253,11253,"F",22253
22254,11254,"F",22254
22255,11255,"F",22255
22257,11257,"F",22257
22258,11258,"F",22258
22259,11259,"F",22259
22260,11260,"F",22260
22261,11261,"F",22261
22262,11262,"F",22262
22264,11264,"F",22264
22265,11265,"F",22265
22266,11266,"F",22266
22267,11267,"F",22267
22268,11268,"F",22268
22269,11269,"F",22269
22271,11271,"F",22271
22272,11272,"F",22272
22274,11274,"F",22274
22276,11276,"F",22276
22277,11277,"F",22277
22279,11279,"F",22279
22280,11280,"F",22280
22281,11281,"F",22281
22282,11282,"F",22282
22283,11283,"F",22283
22284,11284,"F",22284
22285,11285,"F",22285
22286,11286,"F",22286
22288,11288,"F",22288
22290,11290,"F",22290
22291,11291,"F",22291
22292,11292,"F",22292
22293,11293,"F",22293
22294,11294,"F",22294
22295,11295,"F",22295
22297,11297,"F",22297
22298,11298,"F",22298
22299,11299,"F",22299
22300,11300,"F",22300
22301,11301,"F",22301
22302,11302,"F",22302
22303,11303,"F",22303
22304,11304,"F",22304
22305,11305,"F",22305
22306,11306,"F",22306
22307,11307,"F",22307
22308,11308,"F",22308
22309,11309,"F",22309
22310,11310,"F",22310
22311,11311,"F",22311
22313,11313,"F",22313
22314,11314,"F",22314
22315,11315,"F",22315
22316,11316,"F",22316
22317,11317,"F",22317
22318,11318,"F",22318
22319,11319,"F",22319
22321,11321,"F",22321
22322,11322,"F",22322
22323,11323,"F",22323
22324,11324,"F",22324
22325,11325,"F",22325
22326,11326,"F",22326
22327,11327,"F",22327
22328,11328,"F",22328
22330,11330,"F",22330
22331,11331,"F",22331
22332,11332,"F",22332
22333,11333,"F",22333
22334,11334,"F",22334
22335,11335,"F",22335
22336,11336,"F",22336
22337,11337,"F",22337
22338,11338,"F",22338
22339,11339,"F",22339
22340,11340,"F",22340
22341,11341,"F",22341
22342,11342,"F",22342
22343,11343,"F",22343
22345,11345,"F",22345
22346,11346,"F",22346
22347,11347,"F",22347
22348,11348,"F",22348
22349,11349,"F",22349
22350,11350,"F",22350
22351,11351,"F",22351
22352,11352,"F",22352
22358,11358,"F",22358
22360,11360,"F",22360
22362,11362,"F",22362
22364,11364,"F",22364
22366,11366,"F",22366
22368,11368,"F",22368
22369,11369,"F",22369
22370,11370,"F",22370
