"","x"
"CG4574",0.267542969864832
"CG31322",0.257684005331063
"CG2161",1.05587217743374e-08
"CG8025",0.209616239941896
"CG5838",0.476313981202042
"CG15747",0.442483256845153
"CG7006",0.27412814131246
"CG3876",0.289904309351686
"CG18572",0.362019493134383
"CG6474",1.08974326132775e-08
"CG7149",0.48079054690857
"CG8261",0.494909983991393
"CG9121",0.308645404716034
"CG14715",0.341000908633207
"CG5788",0.22062183381264
"CG33882",1.04120997631255e-08
"CG5855",1.25528642949305e-08
"CG7421-PA",1.35264909921346e-08
"CG7421-PB",0.446688105494631
"CG7421-PE",1.08165200184572e-08
"CG7421-PF",0.328603524436343
"CG5796",0.53484108368539
"CG6050",0.168262943175896
"CG7741",0.232348714929279
"CG3318",0.665173703738641
"CG11023",1.04803415589871e-08
"CG5813-PA",0.323838962304615
"CG5813-PB",1.0384709246045e-08
"CG5813-PD",1.0384709246045e-08
"CG7726",1.17365669535543e-08
"CG12797",0.750130987454993
"CG2863",0.391345507103528
"CG4609",0.176994152236122
"CG5460",0.423627567320639
"CG6022",0.348521889954918
"CG17919",0.186750013718596
"CG4700",0.686169442049047
"CG1031",0.423814690591286
"CG11413",0.524282670822785
"CG34301",0.681954578322053
"CG11100",1.54706021110944e-08
"CG1193",0.27741935501425
"CG33290",1.09943619628179e-08
"CG2674-PD",0.163608595176203
"CG2674-PC",0.152681688537949
"CG2674-PH",0.163608595176203
"CG2674-PF",0.163608595176203
"CG2674-PI",0.163608595176203
"CG2674-PB",1.02769104694073e-08
"CG2674-PA",0.163608595176203
"CG2674-PE",0.163608595176203
"CG2674-PJ",0.152681688537949
"CG2674-PG",1.34863087370112e-08
"CG2674-PK",1.17445990390567e-08
"CG2674-PL",1.17445990390567e-08
"CG34250",1.12366791277364e-08
"CG31155",0.564499979141683
"CG1484",1.00062567199888e-08
"CG30499",0.14326390035042
"CG12909",0.236391283021427
"CG31703",0.289605740522553
"CG8276",0.229017633832087
"CG12202",1.020848920695e-08
"CG33113-PE",0.263374304645132
"CG33113-PD",0.327211796121381
"CG33113-PA",1.01538284314384e-08
"CG33113-PC",0.322285475173568
"CG33113-PG",0.327211796121381
"CG33113-PF",0.397866533294685
"CG33113-PB",0.263374304645132
"CG33113-PH",0.382711579833646
"CG33113-PI",0.263374304645132
"CG33113-PJ",0.263374304645132
"CG33113-PL",0.313863772228415
"CG31780",0.583097950569494
"CG7626",0.408478200628431
"CG33139",0.221175298231317
"CG5022",0.187041680415789
"CG31664",0.544556935783358
"CG34114",0.199152321736603
"CG17568",0.21546316553115
"CG7100",0.637428170721184
"CG32792-PG",0.686625201965021
"CG3691",0.387102269969654
"CG32227",0.344855730205261
"CG3710",0.435032824198769
"CG6024",0.872833357249975
"CG6141",0.175746475910349
"CG7951-PA",1.1112287821738e-08
"CG7951-PB",0.300156482191487
"CG7576",0.404877874585833
"CG4900",0.683876935236334
"CG14041-PA",0.283291948103534
"CG14041-PB",0.464291711308735
"CG14041-PC",0.283291948103534
"CG14041-PD",0.464291711308735
"CG2412",1.05049572058612e-08
"CG2813",0.441936608837159
"CG11873",1.0373101811555e-08
"CG6687",0.618885709922158
"CG3281",0.555100521823939
"CG8003",0.449208901467826
"CG8630",0.359606647451854
"CG1945-PA",1.02233519248741e-08
"CG1945-PC",0.0674871081886679
"CG1945-PD",1.02233519248741e-08
"CG1945-PE",0.0674871081886679
"CG1945-PF",0.0674871081886679
"CG1945-PG",1.02233519248741e-08
"CG7145",0.253443466707744
"CG4238",1.34807218495893e-08
"CG14235-PA",1.10832795380172e-08
"CG14235-PC",1.10468758206207e-08
"CG14235-PB",1.10468758206207e-08
"CG14235-PD",1.10468758206207e-08
"CG1131",0.309213712716268
"CG4322",0.438613545537223
"CG4662-PB",0.356181684538486
"CG4662-PA",0.457929143675768
"CG4662-PD",0.467254213204607
"CG4662-PE",0.467254213204607
"CG4662-PF",0.389535811486054
"CG4662-PC",0.389535811486054
"CG14290",0.258585954818819
"CG6338",1.07720606392835e-08
"CG9854",0.213866363232251
"CG12000",0.286855458137872
"CG10529",0.450489298411212
"CG42336-PE",0.553438222583642
"CG42336-PF",0.553438222583642
